Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","TENAGA MURNI, PT","JL. MERDEKA, PASAR, KEC. TAPAK TUAN, KAB. ACEH SELATAN 23711",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO GROSIR <AMIRON ALI>,"JL. T TUAN MEULABOH, SIMPANG III, KEC. SAWANG, KAB. ACEH SELATAN 23753",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO GROSIR SEMBAKO <YASNI>,"DUSUN SUKA DAMAI, BARU, KEC. SAMA DUA, KAB. ACEH SELATAN 23752",77718353
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","FADHIL, UD","LW LONING HAKHAPEN DUSUN D HARAPAN, LAWE LONING HAKHAPEN, KEC. LAWE SIGALA-GALA, KAB. ACEH TENGGARA 24673",60630999
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","MATRA, UD <ABDI>","PERAPAT TIMUR DUSUN SAUDARA, PERAPAT TIMUR, KEC. LAWE BULAN, KAB. ACEH TENGGARA 24651",97749260
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","ALFARISI RIZKI ABADI, PT","JL. TERMINAL TERPADU NO 10 , KUTA RIH, KEC. BABUSSALAM, KAB. ACEH TENGGARA 24651",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","BERSAMA, UD","JL. LAWE RUTUNG, LAWE RUTUNG, KEC. LAWE BULAN, KAB. ACEH TENGGARA 24651",82383605
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","DONI AGARA, UD","DUSUN DAMAI, LAWE DESKI SABAS, KEC. BABUL MAKMUR, KAB. ACEH TENGGARA 24673",68421459
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","GAS MULIYO, PT","PERAPAT TITI PANJANG DUSUN MANDALA, PERAPAT TITI PANJANG, KEC. BABUSSALAM, KAB. ACEH TENGGARA 24651",70447958
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","IQBAL, UD","LAWE LONING AMAN, LAWE LONING AMAN, KEC. LAWE SIGALA-GALA, KAB. ACEH TENGGARA",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","NABAWI, UD","JL. PAJAK PAGI, LAWE RUTUNG, KEC. LAWE BULAN, KAB. ACEH TENGGARA 24651",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG BESAR MAKANAN <SYAHLAN>,"KAMPUNG BAKTI DUSUN SETIA BUDI, KAMPUNG BHAKTI, KEC. BABUL MAKMUR, KAB. ACEH TENGGARA 24673",73992554
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG COKLAT <SUDINAN>,"DUSUN SUKA MAJU, TANOH ALAS, KEC. BABUL MAKMUR, KAB. ACEH TENGGARA 24673",70480948
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG TERNAK BABI <SAUT>,"DUSUN MUARA, LAWE MANTIK, KEC. BABUL MAKMUR, KAB. ACEH TENGGARA 24673",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","PENERAH REJEKI, UD","PULONAS BANBAN, PULONAS, KEC. BABUSSALAM, KAB. ACEH TENGGARA 24651",59035838
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","PENGUSAHA MUDA, UD","JL. LAWE RUTUNG, LAWE RUTUNG, KEC. LAWE BULAN, KAB. ACEH TENGGARA 24651",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKE COKLAT <MASITA>,"TITI PASIR, TITI PASIR, KEC. SEMADAM, KAB. ACEH TENGGARA 24673",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKE COKLAT JUNTAK,"KUTA TENGAH DUSUN SENTOSA, KUTA TENGAH, KEC. LAWE SIGALA-GALA, KAB. ACEH TENGGARA 24673",70280501
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKE JAGUNG DAN PALAWIJA <MAHDAN>,"TITI PASIR, TITI PASIR, KEC. SEMADAM, KAB. ACEH TENGGARA 24673",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKE PINANG <ZAINAB>,"JL. KUTACANE BLANGKEJEREN, DATUK PINDING, KEC. KETAMBE, KAB. ACEH TENGGARA 24652",63232659
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKEH COKLAT <ATIK>,"SUKA JAYA, SUKA JAYA, KEC. LAWE SIGALA-GALA, KAB. ACEH TENGGARA 24673",88122011
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKEH COKLAT <WILLIAM>,"DUSUN MELATI, BERINGIN NARU, KEC. DELENG POKHKISEN, KAB. ACEH TENGGARA 24651",66851966
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKEH IKAN MAS <MUHAJIRIN>,"JL. LAWE NIMBER, PULO PIKU, KEC. DARUL HASANAH, KAB. ACEH TENGGARA 24653",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKEH KAKAO <RAIDI>,"PASIR NUNANG DUSUN LAWE GARUT, PASIR NUNANG, KEC. LAWE ALAS, KAB. ACEH TENGGARA 24661",60615058
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKEH KAKAO <SAKDIN>,"DUSUN TANAH LAPANG, KUTA BATU II, KEC. LAWE ALAS, KAB. ACEH TENGGARA 24661",61439743
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKEH PADI <RAYAMAN>,"DUSUN GEREME, KUTA CINGKAM I, KEC. LAWE ALAS, KAB. ACEH TENGGARA 24661",64612625
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO ELEKTRONIK <ZAIDA>,"KUNING I, KUNING I, KEC. BAMBEL, KAB. ACEH TENGGARA 24671",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TUMBUR,"JL. NUSANTARA NO 30, KOTA KUTACANE, KEC. BABUSSALAM, KAB. ACEH TENGGARA 24651",61446108
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","HASIL BUMI I, UD","SIMPANG AMD DUSUN SUKA RAMAI, KAMPUNG KEUDE, KEC. PEUDAWA, KAB. ACEH TIMUR 24454",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","MANDIRI, UD <RENDRA>","BLANG MEE, SEUNEUBOK RAMBONG, KEC. IDI RAYEUK, KAB. ACEH TIMUR 24454",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","POBRI, UD <BASYIRDIN>","DUSUN TEUNGOH, KAMPUNG KEUDE, KEC. DARUL AMAN, KAB. ACEH TIMUR 24455",62858650
